cover,pages,publish_year,rating,rating_count,rating_5,rating_4,rating_3,rating_2,rating_1,rated_high
Paperback,220,1980,4.04,41914,20195,10261,6535,2710,2213,1
Paperback,48,2005,4.24,41732,20604,12295,7370,1159,304,1
Paperback,64,2004,4.17,40661,20380,10348,7245,1768,920,1
Board Book,21,1996,4.09,40244,18811,10109,8195,2292,837,1
Paperback,40,2003,4.28,40226,21493,10910,5993,1369,461,1
Paperback,32,2000,4.159999999999999,40212,18830,11790,7466,1538,588,1
Hardcover,32,1987,4.22,39724,19987,11272,6293,1449,723,1
Paperback,64,1999,4.23,39166,20388,10078,6678,1453,569,1
Hardcover,24,1976,4.31,38956,22480,8454,6227,1289,506,1
Paperback,507,2005,4.14,38863,17193,12728,6811,1592,539,1
Hardcover,40,2005,4.3,38390,21057,10024,5481,1298,530,1
Hardcover,224,2010,4.21,37554,20539,8509,5500,1824,1182,1
Paperback,320,1986,4.31,37413,19296,12137,4618,1005,357,1
Hardcover,40,1999,4.11,37194,17160,10291,7375,1526,842,1
Hardcover,32,2002,4.28,37118,20112,9158,6235,1242,371,1
Paperback,125,2000,3.96,36719,16085,8849,7504,2620,1661,0
Paperback,225,1987,4.02,36700,13509,12790,8362,1719,320,1
Hardcover,48,1973,4.24,36416,19422,8771,6318,1344,561,1
Paperback,273,2004,4.25,36413,17425,12364,5120,1130,374,1
Board Book,32,1998,4.32,36070,20234,9053,5250,1127,406,1
Board Book,26,1995,4.21,35684,17510,10086,6560,1124,404,1
Paperback,192,2003,4.44,35042,22685,7152,3671,942,592,1
Hardcover,128,1994,4.34,34517,19543,8599,5162,903,310,1
Paperback,40,1990,4.27,34077,18637,8244,5501,1214,481,1
Paperback,64,1984,4.36,33336,19308,8064,4819,857,288,1
Paperback,62,2003,4.13,33122,15857,8275,6820,1681,489,1
Paperback,1344,2010,4.430000000000001,32587,19729,8485,3300,763,310,1
Paperback,80,2003,3.74,32499,8625,10727,10038,2452,657,0
Hardcover,215,2009,3.8299999999999996,32415,9941,11118,8126,2320,910,0
Paperback,32,1983,4.18,32050,15966,8151,6237,1221,475,1
Paperback,233,2003,4.07,31814,12924,10711,6269,1323,587,1
Paperback,32,1993,4.21,31237,15631,8507,5564,1103,432,1
Paperback,48,1996,4.11,31104,14307,8564,6131,1534,568,1
Hardcover,14,2004,4.2,31057,15684,8232,5372,1287,482,1
Paperback,68,1992,3.92,30750,11543,8797,7705,1970,735,0
Paperback,131,2012,3.94,29646,11042,9351,6442,1967,844,0
Board Book,14,2000,4.22,29424,15577,6819,5342,1237,449,1
Hardcover,212,1977,4.02,29013,12852,7707,5588,1770,1096,1
Paperback,252,2000,3.9699999999999998,29009,10060,10826,6023,1333,767,0
Paperback,32,1991,4.25,28998,15205,7707,4669,1004,413,1
Hardcover,32,1989,4.11,28600,13592,7103,5966,1468,471,1
Paperback,32,1999,4.49,28511,18282,6857,2603,537,232,1
